lon,lat,stage
115.233750,-21.057670,2.787838
115.234740,-21.043850,2.791032
115.233460,-21.041460,2.793721
115.233300,-21.041570,2.794495
115.231810,-21.050570,2.797687
115.232350,-21.041480,2.798602
115.233980,-21.066830,2.798889
115.232200,-21.041420,2.799477
115.233630,-21.070310,2.802237
115.231310,-21.048410,2.803875
115.231290,-21.054150,2.805179
115.230940,-21.042980,2.805717
115.230580,-21.050160,2.805945
115.230710,-21.042920,2.807111
115.230940,-21.041130,2.807174
115.231950,-21.060990,2.807538
115.232810,-21.069120,2.808537
115.230200,-21.048280,2.808804
115.232770,-21.069310,2.808912
115.232740,-21.069940,2.809193
115.231460,-21.057410,2.810917
115.232500,-21.070080,2.811449
115.231350,-21.035230,2.811537
115.230790,-21.036980,2.811916
115.230660,-21.037360,2.812079
115.230490,-21.037950,2.812465
115.231880,-21.032770,2.812473
115.230930,-21.036120,2.812501
115.231290,-21.057510,2.812553
115.230120,-21.052220,2.812600
115.230410,-21.038260,2.812690
115.231730,-21.033020,2.812927
115.229770,-21.042670,2.812992
115.231260,-21.034250,2.813630
115.229660,-21.041630,2.814420
115.231710,-21.032010,2.814668
115.229840,-21.039850,2.814799
115.229640,-21.040590,2.815389
115.230160,-21.053760,2.816274
115.229380,-21.043550,2.816470
115.231020,-21.033270,2.816579
115.230140,-21.053860,2.816755
115.229330,-21.045630,2.817086
115.229180,-21.049900,2.817706
115.229140,-21.050090,2.818152
115.230150,-21.035040,2.818695
115.229170,-21.050920,2.818828
115.231550,-21.067150,2.820293
115.229340,-21.036810,2.820486
115.230540,-21.061520,2.820882
115.228950,-21.050950,2.821140
115.228890,-21.047090,2.821149
115.231440,-21.067260,2.821362
115.231310,-21.066400,2.821459
115.231340,-21.029750,2.821792
115.231390,-21.070020,2.821885
115.228870,-21.044290,2.821904
115.230440,-21.061620,2.821919
115.228790,-21.044370,2.822703
115.228700,-21.047200,2.823019
115.228560,-21.038440,2.823606
115.228500,-21.038710,2.823744
115.230150,-21.057340,2.823863
115.228950,-21.051850,2.823979
115.231140,-21.067870,2.824241
115.228450,-21.042210,2.824267
115.228310,-21.040370,2.824282
115.228470,-21.047960,2.825143
115.228430,-21.048100,2.825510
115.228330,-21.042500,2.825653
115.229030,-21.052790,2.825824
115.230910,-21.068930,2.826401
115.228310,-21.048870,2.826539
115.229580,-21.055600,2.827404
115.229720,-21.058410,2.827499
115.228670,-21.034730,2.827645
115.228040,-21.036770,2.828082
115.229230,-21.054680,2.828711
115.230230,-21.065170,2.829156
115.227750,-21.037300,2.829382
115.230560,-21.069740,2.829689
115.228010,-21.049670,2.829707
115.227930,-21.043150,2.830015
115.229350,-21.060400,2.830157
115.227960,-21.049840,2.830287
115.229350,-21.055850,2.830540
115.228730,-21.053470,2.830857
115.227880,-21.050520,2.831369
115.228760,-21.031820,2.831819
115.229140,-21.060440,2.832152
115.228400,-21.032760,2.832371
115.230260,-21.071780,2.832503
115.229250,-21.056480,2.833075
115.230110,-21.067070,2.833514
115.227620,-21.034480,2.834061
115.227570,-21.044070,2.834217
115.229010,-21.061360,2.834294
115.227150,-21.039340,2.834347
115.227130,-21.039170,2.834399
115.229100,-21.056520,2.834641
115.227190,-21.021680,2.834733
115.227010,-21.038270,2.834808
115.228920,-21.059280,2.834887
115.229990,-21.067800,2.835053
115.226880,-21.036310,2.835469
115.227470,-21.046250,2.835492
115.227170,-21.041130,2.835627
115.228800,-21.059460,2.835968
115.227220,-21.042310,2.836118
115.228890,-21.057300,2.836279
115.227610,-21.051670,2.836737
115.228890,-21.062520,2.837050
115.226420,-21.018860,2.837261
115.226430,-21.017870,2.837382
115.226540,-21.017650,2.837405
115.227180,-21.022690,2.837431
115.227530,-21.051710,2.837663
115.227150,-21.047710,2.838358
115.226050,-21.019590,2.838477
115.229530,-21.069560,2.839373
115.229450,-21.068730,2.840127
115.229440,-21.068650,2.840221
115.226320,-21.035330,2.840789
115.229350,-21.071340,2.841059
115.226700,-21.023460,2.841314
115.226230,-21.037110,2.841354
115.229300,-21.069650,2.841535
115.227080,-21.032600,2.841614
115.228200,-21.055530,2.842036
115.226590,-21.023680,2.842267
115.225010,-21.018600,2.842381
115.226740,-21.049650,2.842878
115.226330,-21.034290,2.843091
115.226560,-21.033460,2.843336
115.227990,-21.061410,2.843494
115.224620,-21.020180,2.843534
115.228040,-21.059220,2.843577
115.226660,-21.049460,2.843638
115.227970,-21.060220,2.843711
115.234260,-21.098450,2.843831
115.226450,-21.045780,2.845765
115.227810,-21.059210,2.845845
115.226250,-21.043730,2.846567
115.226350,-21.045920,2.846731
115.226230,-21.043800,2.846816
115.225390,-21.035910,2.847114
115.227780,-21.057090,2.847316
115.223600,-21.018150,2.847532
115.227570,-21.062040,2.848124
115.227660,-21.057260,2.848402
115.226200,-21.026510,2.848897
115.225500,-21.037870,2.849338
115.227160,-21.054230,2.849526
115.227420,-21.062130,2.849593
115.228430,-21.070470,2.849712
115.228420,-21.071270,2.849880
115.227160,-21.054350,2.849891
115.226200,-21.051490,2.850193
115.225700,-21.041820,2.850260
115.225940,-21.032260,2.850375
115.225870,-21.047470,2.851191
115.224690,-21.035000,2.852028
115.228200,-21.071370,2.852060
115.225040,-21.034000,2.852164
115.222270,-21.018750,2.852227
115.228130,-21.069400,2.852535
115.225250,-21.033220,2.852742
115.225240,-21.033030,2.853269
115.224910,-21.036680,2.853345
115.224520,-21.034830,2.853464
115.225890,-21.031010,2.853525
115.227910,-21.067640,2.854434
115.226950,-21.055240,2.854687
115.227890,-21.068460,2.854795
115.224830,-21.037010,2.854920
115.226840,-21.059040,2.855482
115.226660,-21.061250,2.856027
115.222050,-21.020540,2.856297
115.226610,-21.061230,2.856530
115.225310,-21.045410,2.856925
115.225350,-21.049140,2.857115
115.225290,-21.045520,2.857200
115.226660,-21.056890,2.858444
115.224990,-21.043540,2.858466
