lon,lat,stage
114.765120,-21.533280,2.667698
115.131435,-21.652068,2.711086
115.131439,-21.652080,2.721586
115.131541,-21.651859,2.735552
115.131544,-21.651846,2.735716
115.131540,-21.651869,2.736711
115.131538,-21.651883,2.737647
115.131537,-21.651894,2.739238
115.131536,-21.651908,2.741272
115.131556,-21.651841,2.747160
115.131555,-21.651851,2.748127
115.131570,-21.651775,2.749375
115.131554,-21.651865,2.749846
115.131551,-21.651878,2.750597
115.131549,-21.651890,2.751049
115.131577,-21.651763,2.754827
115.131568,-21.651829,2.757188
115.131570,-21.651818,2.757267
115.131565,-21.651841,2.757498
115.131563,-21.651853,2.757686
115.131573,-21.651806,2.758310
115.131575,-21.651795,2.758491
115.131562,-21.651864,2.758757
115.131578,-21.651784,2.759632
115.131583,-21.651754,2.759956
115.131582,-21.651773,2.762124
115.131591,-21.651741,2.766871
115.131596,-21.651727,2.770257
115.131597,-21.651732,2.772265
115.131600,-21.651715,2.773044
115.131603,-21.651704,2.774889
115.131606,-21.651691,2.776412
115.131609,-21.651681,2.778518
115.131612,-21.651667,2.780055
115.131606,-21.651721,2.780834
115.131624,-21.651579,2.781906
115.131615,-21.651655,2.782058
115.131623,-21.651594,2.782526
115.131622,-21.651605,2.782803
115.131624,-21.651568,2.782864
115.131617,-21.651644,2.783021
115.131620,-21.651619,2.783334
115.131619,-21.651630,2.783539
115.131613,-21.651711,2.787536
115.131624,-21.651559,2.788056
115.131607,-21.651802,2.795095
115.131620,-21.651698,2.795199
115.131624,-21.651545,2.795897
115.131625,-21.651689,2.799949
115.131624,-21.651533,2.802647
115.131631,-21.651678,2.805662
115.131618,-21.651804,2.808221
115.131624,-21.651520,2.808738
115.131636,-21.651667,2.810410
115.131647,-21.651578,2.813021
115.131640,-21.651655,2.813943
115.131647,-21.651588,2.814080
115.131646,-21.651565,2.814280
115.131624,-21.651511,2.814476
115.131648,-21.651598,2.816520
115.131644,-21.651641,2.817288
115.131648,-21.651609,2.817665
115.131646,-21.651631,2.818701
115.131648,-21.651620,2.818809
115.131645,-21.651553,2.819043
115.131631,-21.651804,2.822178
115.131624,-21.651496,2.822823
115.131646,-21.651541,2.825568
115.131624,-21.651484,2.829604
115.131645,-21.651530,2.829960
115.131641,-21.651805,2.834077
115.131645,-21.651518,2.836050
115.131624,-21.651472,2.836907
115.131645,-21.651505,2.842609
115.131624,-21.651461,2.843167
115.131654,-21.651806,2.848088
115.131624,-21.651447,2.850010
115.131664,-21.651806,2.859869
115.131679,-21.651808,2.876059
115.131690,-21.651810,2.888991
115.131702,-21.651611,2.889039
115.131702,-21.651623,2.889645
115.131703,-21.651598,2.889724
115.131697,-21.651764,2.893051
115.131697,-21.651779,2.893783
115.131697,-21.651791,2.894433
115.131696,-21.651804,2.895072
115.131603,-21.652277,2.895082
115.131696,-21.651815,2.895625
115.131569,-21.652314,2.897654
115.131616,-21.652277,2.898686
115.131666,-21.652179,2.901822
115.131629,-21.652275,2.902079
115.131703,-21.651813,2.902984
115.131666,-21.652190,2.903043
115.131666,-21.652202,2.904365
115.131666,-21.652214,2.905688
115.131678,-21.652196,2.909203
115.131680,-21.652185,2.909253
115.131675,-21.652214,2.909487
115.131359,-21.652380,2.911233
115.131702,-21.651496,2.913249
115.131583,-21.652359,2.914155
115.131702,-21.651482,2.918465
115.131550,-21.652382,2.919744
115.131357,-21.652392,2.920823
115.131553,-21.652396,2.924911
115.131355,-21.652408,2.934276
115.131737,-21.652093,2.941905
115.131738,-21.652083,2.943143
115.131738,-21.652069,2.943825
115.131354,-21.652420,2.943933
115.131455,-21.652430,2.944548
115.131739,-21.652056,2.945237
115.131741,-21.652045,2.946655
115.131741,-21.652033,2.947299
115.131747,-21.651744,2.951064
115.131748,-21.651732,2.951097
115.131748,-21.651721,2.951123
115.222270,-21.311930,2.951951
115.131748,-21.651755,2.952160
115.131749,-21.651769,2.953218
115.131750,-21.651779,2.954272
115.131765,-21.651965,2.969580
115.131767,-21.651977,2.971068
115.131769,-21.651989,2.973408
115.131771,-21.651998,2.974895
115.131769,-21.651852,2.975394
115.131771,-21.651840,2.977789
115.131776,-21.652014,2.978703
115.131773,-21.651828,2.980259
115.131776,-21.651818,2.983756
115.131779,-21.651804,2.987448
115.131800,-21.651951,3.003139
115.131800,-21.651942,3.003748
115.131801,-21.651929,3.005470
115.131801,-21.651915,3.006314
115.131802,-21.651906,3.007899
115.131803,-21.651887,3.009049
115.131804,-21.651877,3.010736
115.131804,-21.651861,3.011725
115.131804,-21.651814,3.014750
115.131805,-21.651803,3.015448
115.131805,-21.651789,3.016378
115.131805,-21.651779,3.017012
115.131805,-21.651765,3.017891
115.131805,-21.651754,3.018647
115.098320,-21.413020,3.132805
115.099360,-21.413370,3.138314
115.173850,-21.316470,3.139935
115.174070,-21.321560,3.172120
115.168460,-21.317950,3.189682
115.119050,-21.536680,3.269894
115.025210,-21.466420,3.306943
115.160410,-21.321210,3.323501
115.032010,-21.451020,3.403872
114.982250,-21.430190,3.409996
115.026740,-21.259620,3.410107
115.141820,-21.312850,3.412010
114.984470,-21.429120,3.430644
115.026450,-21.267380,3.462615
115.029250,-21.268150,3.468603
115.009440,-21.400600,3.515904
114.970680,-21.437540,3.550887
115.015250,-21.261290,3.558768
114.920000,-21.500620,3.655096
114.967380,-21.441410,3.657096
114.920730,-21.498010,3.679347
115.090580,-21.521780,3.734068
114.913510,-21.495810,3.743372
114.901280,-21.477260,3.761626
114.902710,-21.477010,3.766589
115.092830,-21.511400,3.880700
115.012380,-21.478330,3.894117
114.775150,-21.545860,3.914316
114.962980,-21.427580,3.914945
114.965550,-21.425260,3.928501
114.934440,-21.459260,3.996500
115.112033,-21.628958,4.055255
115.112026,-21.628965,4.055280
115.112043,-21.628949,4.055369
115.112017,-21.628976,4.055414
115.112053,-21.628942,4.055538
115.112010,-21.628985,4.055558
115.112065,-21.628934,4.055776
115.112147,-21.629029,4.067404
115.112159,-21.629022,4.067764
115.112168,-21.629017,4.068045
115.112183,-21.629009,4.068417
114.767220,-21.510020,4.079623
115.112376,-21.629030,4.082144
115.112387,-21.629035,4.083105
115.112395,-21.629043,4.084069
115.112393,-21.629055,4.084759
115.112405,-21.629057,4.085542
115.112417,-21.629059,4.086325
115.112429,-21.629060,4.087106
115.112441,-21.629060,4.087775
115.112453,-21.629060,4.088442
115.112466,-21.629059,4.089110
115.112477,-21.629057,4.089666
115.112666,-21.629150,4.106051
115.112660,-21.629159,4.106265
115.112652,-21.629171,4.106534
115.112645,-21.629181,4.106750
